eventId,title,chains,causedByOrgs,causedByEvents,peopleInvolved,dateStarted,dateEnded,eventType,location,narrative,references
15,Fourth Aliyah,Aliyahs,,60,,1924,1928,migration,poland,"The fourth aliyah was a fresh resumption of emigration from eastern Europe. This time the chief cause was the growing antisemetic political leadership developing in Poland under the influence of the ""National Democracy"" movement. Around the same time period, the US had significantly restricted immigration into its territory, leading to most emigrants moving to Palestine. During this period, about 80000 new immigrants arrived in Palestine. These immigrants were primarily middle class bourgeois people, who were different from the idealist Zionists who had emigrated in the second and third aliyahs. However, about 23000 of these immigrants did move out of Palestine between 1926-27 due to an economic downturn. Oweing to their middle class nature, they contributed more to the urbanization of the Jewish community in Palestine than to the kibbutz movement of the Zionists.","http://en.wikipedia.org/wiki/Fourth_Aliyah, http://en.wikipedia.org/wiki/National_Democracy#Second_Republic"
17,"The First Zionist Congress, and formation of the Zionist Organization",Zionism,WZO,19,Theodore Herzl,29-Aug-1897,,org founded,"Basel, Switzerland","After the publication of Der Judenstaat, the Jewry of Europe were divided in supporting Zionism as an idea of setting up a Jewish state. To discuss the the ideas of Zionism with other leaders, Theodor Herzl convened a meeting which Zionist delegates from the all over Europe (including leaders of other Zionist societies) attended. After a lot of deliberation and discussion, they agreed of the objectives of Zionism, and codified it as the Basel declaration. The Zionist Organization (ZO) was formed and it adopted the Basel declaration as its goals. The many Lovers of Zion organizations merged with the ZO. Herzl was elected to be its president. In January 1960, the ZO changed its name to World Zionist Organization (WZO).","http://en.wikipedia.org/wiki/World_Zionist_Organization, http://en.wikipedia.org/wiki/First_Zionist_Congress"
19,Der Judenstaat written,Zionism,,20,Theodore Herzl,1-Feb-1896,,uncategorized,Leipzig and Vienna,"Theodor Herzl was a Jewsih Austrian born journalist, writer and political activist. The Dreyfus affair moved him very much much. While he had moved from Austria to France in order to escape persecution widespread in his home country, this affair convinced him that the Jewish people cannot escape persecution anywhere in Europe, and if they are to live a life of equality and freedom, they must form their own nation. He presented his thoughts on this subject in his book ""Der Judenstaat"", which translates to ""The Jewish State"". Herzl is widely considered to be the founding father of modern Zionism.","http://en.wikipedia.org/wiki/Der_Judenstaat, http://en.wikipedia.org/wiki/Theodor_Herzl"
20,Dreyfus Affair,Zionism,French,,Alfred Dreyfus,1-Nov-1894,,uncategorized,,"In late 1984 a Captain of the French military named Alfred Dreyfus was wrongly convicted of treason for revealing secrets to the Germans. This issue was very controvertial since the trials were held behind closed doors, and it was widely insinuated that Dreyfus was convicted only because he was Jewish. Evidence later surfaced in 1906 that exonerated the Captain. The whole affair brought to the French society's limelight the the amount extent of antisemetism that was prevelant in that era.  It also stoked the Zionist sentiment that Jews cannot escape persecution until they organize themself together.",http://en.wikipedia.org/wiki/Dreyfus_affair#International_consequences
21,British Zionist Federation Formed,Zionism,,,Chaim Weizmann,1899,,org founded,England,"With the rising tide of organized Zionism rising in mainland Europe, its effects were also seen in Britain. Dr Chaim Weizmann, a British biochemist and Zionist leader created the Zionist Federation of Great Britain and Ireland (also knows as the British Zionist Federation or simply Zionist Federation). The objective of this organization was to lobby the British government to support the creation of a permanent home for Jewish people.","http://en.wikipedia.org/wiki/Zionist_Federation_of_Great_Britain_and_Ireland, http://en.wikipedia.org/wiki/Chaim_Weizmann"
22,Zionist Comission Formed,Zionism,BZF,"21, 1",Chaim Weizmann,1-Mar-1918,,org founded,England,"Following the Balfour Declaration, a commission was formed with Dr Chaim Weizmann as its president. The objective of the Commission was to make recommendations to the British government with regards to setting up a Jewish Home in Palestine. The commission expanded the Palestine Office set up by the ZO into many more departments. The commission was redesignated as the Palestine Zionist Executive in 1921, and Ze'ev Jabotinsky was elected to the executive.","http://en.wikipedia.org/wiki/Zionist_Commission, http://en.wikipedia.org/wiki/Chaim_Weizmann, http://en.wikipedia.org/wiki/Jewish_Agency_for_Israel"
23,Jabotinsky resigns from the PZE,"Zionism, Revisionist Zionism",,22,Ze'ev Jabotinsky,1923,,uncategorized,,"Ze'ev Jabotensky was a Russian Jew who had grown up in Russia witnessing a lot of antisemetic violence. In 1903 he joined the Zionist movement, and he quickly become influential as a leader and speaker. He was elected as a delegate to the sixth Zionist Conference. He had organized many self-defence groups  for Jewish people in Russia - an action that many Jews disapproved of as it conveyed a more violent image of Jews. in 1921 he was elected to the executive council of PZE when it was set up. However he resiged from PZE in 1923 due to differences in ideology with Chaim Weizmann. While Weizmann believed in a more pacifist and diplomatic approach to Zionism, Jabotinsky favoured a more forceful approach. He believed that to establish a safe Jewish home, the Jews must arm and train themselves, and use force of their might to expand their territory. This was an ideology that later manifested itself in the form of many Revisionist Zionist organizations that embraced this school of thought.","http://en.wikipedia.org/wiki/Ze%27ev_Jabotinsky, http://en.wikipedia.org/wiki/Revisionist_Zionism, http://en.wikipedia.org/wiki/Jewish_Agency_for_Israel#cite_ref-21"
24,Hatzohar (Revisionist Zionist Party) formed,Revisionist Zionism,,23,Ze'ev Jabotinsky,1-Apr-1925,,political development,Paris,"The Revisionist Zionist party was founded by Ze'ev Jabotinsky with the mission of representing what they thought was a revised and more effective version of the policies of ZO. Jabotinsky believed that Chaim Weizmann, who was the president of ZO at that time, was too pro-British, and that his methods were those of British appeasement.",http://en.wikipedia.org/wiki/Hatzohar
25,Palestine Office of ZO formed,Zionism,WZO,"19, 8",,1908,,org founded,,The ZO set up a Palestine Office branch to represent Jewish interests in Palestine when dealing with Ottoman and other dignitaries and to aid Jewish immigration into Palestine during the Second Aliyah by purchasing land for their settlement in collaboration with the Jewish National Fund.,"http://en.wikipedia.org/wiki/Jewish_Agency_for_Israel#1908.E2.80.931928:_Beginnings_as_an_arm_of_the_World_Zionist_Organization, http://en.wikipedia.org/wiki/Jewish_Agency_for_Israel"
27,Jewish Agency Formed,Zionism,BZF,"25, 92",,1929,,org founded,,"After the formal establishment of the British Mandate in Palestine in 1922, a suitable Jewish agency was to be set up in accordance with the stipulations of the Mandate. The objective of the agency would be to cater to the interests of Jews in Palestine. in 1929 the PZE was officially restructured and renamed to Jewish Agency. This organization was seen to be comprised of more philanthropic individuals, with many opposed to the idea Zionism in the form embraced by ZO. Hence the PZE was chosen to be the chosen Jewish Agency rather than the ZO, since the idea of a more neutral agency was more palatable to the British. The Jewish Agency ran hospitals and schools, and went on to consolidate and reinvigorate the Haganah, a Jewish paramilitary defense organization.",http://en.wikipedia.org/wiki/Jewish_Agency_for_Israel
84,Armstice of Mudros,World War 1,"British, Ottomans",88,Edmund Allenby,30-Oct-1918,,armstice,,"Following General Allenby's victories in the Battle of Megiddo, Turks were in a no position to defend themself. Hence the Allies and the Ottoman monarchy agreed to the Armstice of Mudros, which not only required the Ottomans to surrender all lands outside of anatolia, but also allowed the Allies control over the Dardanelles straits and the right to occupy any Ottoman lands. This was effectively the end of the turkish part in WW1, and the first step in the end of the Ottoman Empire.",http://en.wikipedia.org/wiki/Armistice_of_Mudros
91,Armstice at Compiègne,World War 1,"British, French, Germans",89,,11-Nov-1918,,armstice,,"The Allied forces launched a series of offensives on the Western Front which helped them to completely overrun German positions on the front. Once the German troops were forced into a completely indefensible position, they were forced to accept defeat and enter into an armstice with the Allies. This armstice marks the end of the fighting in World War 1. The formal terms of peace were officially ratified later as part of the Treaty of Versailles in June 1919.",http://en.wikipedia.org/wiki/First_Armistice_at_Compi%C3%A8gne
30,Bolsheviks reveal secret agreement of Asia Minor,"Russian Revolution, World War 1",Bolsheviks,3,,23-Nov-1917,,uncategorized,Russia,"The new Bolshevik regime did not wish to honour the agreements entered into by the previously ruling Tsarist rule. They revealed the secret agreement between Britain, France and Russia that involved, among other things, plans for the future of the middle eastern European colonies. This upset arabs, as well as zionists as this was three weeks after the balfour declaration.",http://en.wikipedia.org/wiki/Sykes%E2%80%93Picot_Agreement
31,The Arab Revolt,"World War 1, Arabs in World War 1","Arabs, British",28,"King Faisal, T.E. Lawrence",1-Jun-1916,1-Oct-1918,war,,"This was a large scale revolt by a number of Arab tribes against their Ottoman rulers lasting over the course of two years. It was facilitated by the British to gain strategic advantage at the Suez canal during World War 1. The chief causes were the gradual rise of arab reformist groups within the Ottoman empire in the last 10 years, and growing fear of Sharif Hussein that the Ottoman government would depose him and replace him with a more pro-ottoman Sharif of Mecca. During the revolt, Sharif Hussein's son Faisal (with the advisement of Captain T.E. Lawrence) rallied together numerous arab tribes to fight as one force. Over the course of two yearst they captured the ports of Wajh, Yenbo and Aqaba. They also incapacitated the Hejaz railway line, thus hampering the Turks' capability to move and maintain their forces in Medina.",http://en.wikipedia.org/wiki/Arab_Revolt
32,Syrian local government declared,Post WW1 Middle East,Arabs,"28, 31, 88",Hussein bin Ali,30-Sep-1918,,political development,,"After Damascus had been captured by the British and Allied forces, the local arabs who had been part of the Arab Revolt proclaimed an autonomous arab government in Syria under the leadership of Hussein bin Ali, the Sharif of Mecca. This was potentially done based on the assurances of the British diplomats given as part of the McMohan letters.",
135,First Truce declared,"Arab Israeli War, UN Influence",,"127, 132, 133, 134",,11-Jun-1948,,armstice,,"The UN declared a truce on 29 May, which came into effect on 11 June and lasted 28 days. It was required that neither side would use this time to advance their position or increase armament, but this stipulation was not respected. The Israeli forces used this time to mobilize a large number of new troops. Their numbers rose from about 30,000 to almost 65,000. The also increased their armaments heavily, and deployed fresh new troops to the battle frontlines. The UN proposed a different partition plan during this ceasefire, which was rejected by both Israel and the Arabs.",http://en.wikipedia.org/wiki/1948_Arab%E2%80%93Israeli_War#First_truce:_11_June_.E2.80.93_8_July_1948
34,Arab Kingdom of Syria proclaimed,Post WW1 Middle East,Arabs,33,King Faisal,8-Mar-1920,,political development,,"The terms negotiated by Faisal and Clemenceau in the beginning January 1920 were widely unpopular with the Syrian populace. One 20th January, days after Clemenceau had reached an agreement with Faisal, he was replaced by a new French prime minister Alexandre Millerand. Meanwhile, widespread revolts against the limited French military presence in Syria were under way, which significantlyl deteriorated the amount of control the French could exercise. Millerand called for a halt of the friendly relations that were developing between Syria and France. Given that the French were disadvantaged militarily, the local Syrians delcared an independent Arab Kingdom of Syria was proclaimed under the rule of King Faisal, which was not in line with the terms negotiated with Clemenceau.","http://en.wikipedia.org/wiki/Franco-Syrian_War, King's Complete History of the World War - by William C. King 1922 p665"
35,1929 Palestinian Riots,Riots in Palestine,"Arabs, Zionists",,Hajj Amin al-Husseini,15-Aug-1929,,civil unrest,"Jerusalem, Jaffa, Hebron, Safad","The increasing number of Jewish immigrants had started ruffling the feathers of local Arab leadership, and the Zionist aspirations and proclamations were causing concern. The widespread land acquisitions by Zionists were had started pushing Arab peasants of Palestine out of their land. The repeated thwarting of Arab political ambitions was also testing the patience of the Arabic leadership. There was a constant fear that the Zionist Jews will take over control of the Western Wall in Jerusalam (a Jewish prayer place), which was considered to be a part of the holy Al-Aqsa mosque, thus a holy place for both the communities. Since the Muslim Arabs viewed any changes to the Wall by the Jews as designs to take over the Wall, they prohibited any construction at the wall. However in September of 1928, Jews erected some screens and chairs for their festival of Yom Kippur. This was met with outrage, and the Arabs set up a variety of designs that made it inconvenient for the Jews to conduct prayer at the site. This sparted protests from the Jewish community. Tensions escalated over time, and precipitated in the form of sectarian violence in the August of 1929. Riots broke out in Jerusalem, the news of which quickly spread to other cities, which incited similar antisemetic violence in Jaffa, Hebron and Safad. In all, 133 Jews and 116 Arabs were left dead at the end of the spate of violence. In the episode, the Haganah had tried to defend the Jews in the cities. The experience of these riots reshaped their direction, and they transformed themselves an untrained militia to a capable underground army quickly. Another aftermath of this episode was the Shaw Commission, which was tasked with conducting inquiries into the causes of the violence. The Shaw Report was the first recommendation to the British government that stated that a more stringent immigration policy should be adopted. This set a precedent for, and influenced, the the 1939 Command Paper, which clearly outlined more stringent immigration restrictions.","http://en.wikipedia.org/wiki/1929_Palestine_riots, http://en.wikipedia.org/wiki/1929_Hebron_massacre, http://en.wikipedia.org/wiki/1929_Safed_riots"
36,Fifth Aliyah,Aliyahs,,"93, 60",,1929,1939,migration,,"Most Jews emigrating from Europe did not pick Palestine as their first choice due to uncertain economic prospects. However after US had restricted their immigration in 1921, and with the resurgence of Palestine's economy after 1927, more migrants were flowing into Europe. In the mid-1930s, the Nazi regime's severe and open antisemetism led to mass evacuations of Jews from Germany to Palestine. By then, Palestine's old High Commissioner Samuel Herbert had been replaced be General Arthur Grenfell, who was much more sympathetic to the Zionist cause. As a result, about 225,000 to 300,000 Jews emigrated into Palestine in this time frame.",http://en.wikipedia.org/wiki/Fifth_Aliyah
37,Black Hand Founded by al-Qassam,Palestinian Nationalism,,35,Izz ad-Din al-Qassam,1930,,org founded,,"Izz ad-Din al-Qassam was a Syrian born Muslim preacher and leader. He was successful in rallying people to donate to his cause of Arab freedom from foreign opression. He used donations from people to organize and instigate jihad agains the Italians in Libya, and later against the French in Syria. However when the French consolidated their power in Syria, he was forced to flee and he arrived in Palestine at Haifa. He was deeply sympathetic to the plight of the lower class Arabs who were suffering due to increasing land acquisitions by the Zionists. The eliete Arabs were in a way responsible for this plight, since they were the ones selling land to the Zionists. In this way he presented himself as an ally of the lower class, and his reputation amongst them spread widely. He was very outraged at the way the lives of lower class Arabs were taking a turn for the worse due to the circumstances imposed on them by the British and the Zionists. After the 1929 riots, he formed a group called the Black Hand, who used to proclaim jihad and attack Jewish settlements and British infrastructure that he believed was the cause of the plight of the Arab lower class.","http://en.wikipedia.org/wiki/Black_Hand_(Palestine), http://en.wikipedia.org/wiki/Izz_ad-Din_al-Qassam"
38,Qassam Killed,Palestinian Nationalism,British,39,Izz ad-Din al-Qassam,1-Nov-1935,,civil unrest,Ya'bad,"After the Cement Incident the Black Hand had started violent operations against the Zionists and British. In one encounter, a British Policeman was killed, which led to a large scale manhunt for the Black Hand's founder Izz ad-Din al-Qassam. He was eventually found hiding in a cave near Ya'bad, and was killed in the ensuing gunfight. The death of al-Qassam was a symbolic moment in Arab Palestinian nationalism. It rallied all people together, and showed them a new paradigm of freedom different from polical peace with British brokered by the elite and influential Arab heads of clans. His funeral was attended by thousands, and it started mass demonstrations of national unity across the country. The spark it created in Palestinian nationalism later led to the Great Revolt in Palestine between 1936 and 1939, during which arab militants called themselves Qassamiyun, followers of al-Qassam. al-Qassam's killing made him a national symbol, and a rallying sign.  Even today, Hamas' military wing is called Izz ad-Din al-Qassam Brigades. Later that month, five Arab politcal parties presented a united demand to the British High Commissioner that a democratic government be set up in Palestine and Jewish immigration and land purchases be curtailed.",http://en.wikipedia.org/wiki/1936%E2%80%9339_Arab_revolt_in_Palestine#Origins
39,The Cement Incident,Arab Uprising,Haganah,,,16-Oct-1935,,uncategorized,Jaffa,"During unloading of shipment from a ship, a crate broke open and it the smuggling of arms and ammuniation into Palestine by the Haganah was discovered. This led to a widespread uproad among the Arab population against zionists, a strike was called for in October. Following this discovery, the members of the Black Hand took to arms and started violence against the Zionists and the British.",http://en.wikipedia.org/wiki/Cement_Incident
40,Bus shooting,Arab Uprising,Black Hand,,,15-Apr-1936,,civil unrest,Nablus-Tulkarm Road,"Two Jews were killed by Qassamites, and this is widely considered to be the spark that ignited the Great Arab Revolt",Peel Commission Report p99
41,Revenge Attack,Arab Uprising,Irgun,40,,16-Apr-1936,,civil unrest,Petah Tikva,"As a revenge for the Jewish killings on the previous day, Irgun gunmen shot and killed two arab workers. The funeral of the killed Jewish persions later in Tel Aviv sparked demonstrations by Jewish people, and attacks on Arabs which quickly escalated into a riot, which was dispersed by the British authorities by use of force and curfew.",Peel Commission Report p99
43,"Arab Strike, and Ensuing Violence",Arab Uprising,AHC,"38, 41",,19-Apr-1936,1-Oct-1936,civil unrest,,"Palestinian nationalist sentiment was already strained following the killing of al-Qassam, and the feeling that the British are not looking out for Arab interests was rife. The Great Depression that had hit worldwide had caused food prices to collapse severly, pushing large number of Palestinian peasants deeper into debt. In a time where agriculture was not looking profitable, it was increasingly lucrative for land owners to sell their land at exorbitant prices to the Zionists, who were willing to pay the high costs. Large scale purchases of land by Jewish settlers left a large number of Palestinian peasants unemployed and socially marginalized. In such an environment, the retaliatory killing of Arabs in Petah Tikva proved to be a spark an a nationwide uprising that would be the largest uprising Palestine had seen since the 1830s. An arab workers general strike, and boycott of Jewish products, was called for during which there was widespread armed insurrection, violence and non-payment of taxes. Arab insurgent groups, many of whom were disciples of al-Qassam's ideology, meted out violence against Jewish settlements, British police, railways and pipelines. The British attempted to subdue the demonstrators by mass arrests and by use of military backup and other emergency measures. However the uprising was too widespread for order to be restored using force. During the violence against Jewish settlements, the Haganah became active in meting out reprisals - something that they had abstained from so far. The actively supported the British efforts to quell the demonstrations and violence. Meanwhile the Revisionist Zionist group Irgun engaged in open violence against Arabs by means of bombings against Arab crowds and buses. A total of 275 people were recorded as dead in the violence, but the Peel Commission's estimate was 1000 deaths.","http://israelipalestinian.procon.org/view.answers.php?questionID=000506, http://en.wikipedia.org/wiki/1936%E2%80%9339_Arab_revolt_in_Palestine#The_Arab_General_Strike_and_armed_insurrection, http://www.jpress.org.il/Olive/APA/NLI/SharedView.Article.aspx?parm=A6pCw%2BSOhLJHkl1rAbBvdg7SNFVsxXlB9PbJFZcfIVyvg%2B2U%2BOZSw%2FbmlrDDaQBwYw%3D%3D&mode=image&href=PLS%2f1936%2f04%2f23&page=1, https://www.jewishvirtuallibrary.org/jsource/History/riots36.html"
44,Arab Higher Committee Formed,"Arab Uprising, Palestinian Nationalism",,"43, 38",Hajj Amin al-Husseini,25-Apr-1936,,org founded,,"After sectarian violence had erupted in Tel Aviv, an Arab National Committee was formed in Nablus and demanded reiterated their demands (from last November) of a democratic government and curtailment Zionist activities. Similar national committees wer eset up in cities all over Palestine. The various Arab political parties united together and formed the Arab Higher Committee, formally endorsed the strike, and reiterated their demands as stated earlier. Soon after, however, the Nashashibi controlled National Defence Party withdrew from the committee due to its long standing rivalry with the Husseini clan, who presided over AHC.","https://www.jewishvirtuallibrary.org/jsource/History/riots36.html, http://en.wikipedia.org/wiki/Arab_Higher_Committee"
130,Second truce,"Arab Israeli War, UN Influence",,,,18-Jul-1948,15-Oct-1948,armstice,,"A second truce was brokered after much diplomatic effort by the UN. A new partition plan was proposed, which was rejected by Israel and the Palestinian Arabs. During this period, Israel declared that all the territory that their defence forces have captured, and any other territory that they may capture will be formally annexed to the State of Israel.",http://en.wikipedia.org/wiki/1948_Arab%E2%80%93Israeli_War#Second_truce:_18_July_.E2.80.93_15_October_1948
139,Armstice Negotiations,Arab Israeli War,,"137, 138",,6-Jan-1949,20-Jul-1949,armstice,,"Israel negotiated separate armstice agreements with all its neighbours. Negotiations with Egypt started on 6 Jan 1949, and concluded on 24 February. The original boundary of Egypt and Mandatory Palestine was agreed to be the line of armstice, except for the strip of land in Gaza which the Egyptian forces remained in control of. This strip of land would later come to be known as the Gaza Strip. In exchange, the safe return of the Egyptian forces left trapped in the Fallujah pocket was promised. With Lebanon (23rd March), Israel agreed to accept the boundary of Mandatory Palestine as the armstice line, and agreed to withdraw its troops from Lebanese territory it had occupied. With Syria (on 20th July), a similar agreement was struck. In all three cases, a demilitarized zone near the armstice lines were established. With Jordan (on 3rd April), it was agreed the terriroty that the Iraqi and Jordanian forces had held would demarcate the armstice line. This territory roughly corresponded to the boundaries drawn up in the UN partition plan. Jordan annexed this territory as part of its Kingdom. In each armstice agreement, it was stipulated that the lines only mark an agreement to curb violence and are not synonymous with any territorial arrangements.",en.wikipedia.org/wiki/1949_Armistice_Agreements
1,The Balfour Declaration,British Influence,British,"76, 80","Alfred Balfour, Baron de Rothschild",2-Nov-1917,,diplomacy,London,"This was a letter from Lord Balfour to the Baron Walter Rothschild (of BZF) regarding british policy with respect to setting up a jewish home in palestine. The British believed that having a favourable stance towards the Zionist movement would win them favour with both the Americans, and the Russians (who were eager to have the Jewish people leave Russia).","http://en.wikipedia.org/wiki/Balfour_Declaration,http://en.wikipedia.org/wiki/Zionist_Federation_of_Great_Britain_and_Ireland"
